"","g1","g2"
"1143","ENSG00000057252.12","ENSG00000162779.21"
"1144","ENSG00000116218.12","ENSG00000162782.15"
"1145","ENSG00000162782.15","ENSG00000143340.6"
"1146","ENSG00000143340.6","ENSG00000169905.12"
"1147","ENSG00000143337.18","ENSG00000135837.15"
"1148","ENSG00000116260.16","ENSG00000121454.5"
"1149","ENSG00000230124.6","ENSG00000143324.13"
"1150","ENSG00000135835.11","ENSG00000135823.13"
"1151","ENSG00000135823.13","ENSG00000153029.14"
"1152","ENSG00000153029.14","ENSG00000162783.10"
"1153","ENSG00000121446.18","ENSG00000135828.11"
"1154","ENSG00000135828.11","ENSG00000143333.6"
"1155","ENSG00000143333.6","ENSG00000135824.12"
"1156","ENSG00000135824.12","ENSG00000135838.13"
"1157","ENSG00000135838.13","ENSG00000135829.16"
"1158","ENSG00000135829.16","ENSG00000157060.15"
"1159","ENSG00000157060.15","ENSG00000135862.5"
"1160","ENSG00000135862.5","ENSG00000058085.14"
"1161","ENSG00000157064.10","ENSG00000116698.21"
"1162","ENSG00000116698.21","ENSG00000116701.14"
"1163","ENSG00000116701.14","ENSG00000162704.15"
"1164","ENSG00000143344.15","ENSG00000173627.7"
"1165","ENSG00000198756.10","ENSG00000198860.11"
"1166","ENSG00000135842.16","ENSG00000121481.10"
"1167","ENSG00000121481.10","ENSG00000121486.11"
"1168","ENSG00000116668.12","ENSG00000116679.15"
"1169","ENSG00000116690.12","ENSG00000047410.13"
"1170","ENSG00000157181.15","ENSG00000262180.1"
"1171","ENSG00000262180.1","ENSG00000116703.13"
"1172","ENSG00000073756.11","ENSG00000116711.9"
"1173","ENSG00000150681.9","ENSG00000253148.1"
"1174","ENSG00000090104.11","ENSG00000127074.14"
"1175","ENSG00000127074.14","ENSG00000116741.7"
"1176","ENSG00000116747.12","ENSG00000023572.8"
"1177","ENSG00000023572.8","ENSG00000134371.10"
"1178","ENSG00000134371.10","ENSG00000162630.5"
"1179","ENSG00000162687.16","ENSG00000000971.15"
"1180","ENSG00000000971.15","ENSG00000116785.13"
"1181","ENSG00000116785.13","ENSG00000244414.6"
"1182","ENSG00000244414.6","ENSG00000134365.12"
"1183","ENSG00000134365.12","ENSG00000080910.11"
"1184","ENSG00000080910.11","ENSG00000134389.9"
"1185","ENSG00000134389.9","ENSG00000143278.3"
"1186","ENSG00000143278.3","ENSG00000066279.17"
"1187","ENSG00000066279.17","ENSG00000177888.7"
"1188","ENSG00000177888.7","ENSG00000134376.15"
"1189","ENSG00000213047.12","ENSG00000203724.10"
"1190","ENSG00000151418.11","ENSG00000081237.18"
"1191","ENSG00000118193.11","ENSG00000118197.13"
"1192","ENSG00000118197.13","ENSG00000118200.14"
"1193","ENSG00000118200.14","ENSG00000170128.4"
"1194","ENSG00000170128.4","ENSG00000163362.10"
"1195","ENSG00000163362.10","ENSG00000116852.14"
"1196","ENSG00000116852.14","ENSG00000081248.10"
"1197","ENSG00000081248.10","ENSG00000232237.3"
"1198","ENSG00000232237.3","ENSG00000116857.16"
"1199","ENSG00000116857.16","ENSG00000163395.16"
"1200","ENSG00000163395.16","ENSG00000081277.12"
"1201","ENSG00000081277.12","ENSG00000118194.18"
"1202","ENSG00000118194.18","ENSG00000159166.13"
"1203","ENSG00000159166.13","ENSG00000159173.18"
"1204","ENSG00000159173.18","ENSG00000174307.6"
"1205","ENSG00000174307.6","ENSG00000159176.13"
"1206","ENSG00000159176.13","ENSG00000134369.15"
"1207","ENSG00000198700.9","ENSG00000198892.6"
"1208","ENSG00000198892.6","ENSG00000163431.12"
"1209","ENSG00000134375.10","ENSG00000176393.10"
"1210","ENSG00000176393.10","ENSG00000163435.15"
"1211","ENSG00000163435.15","ENSG00000170075.8"
"1212","ENSG00000170075.8","ENSG00000143862.7"
"1213","ENSG00000143862.7","ENSG00000143851.15"
"1214","ENSG00000143851.15","ENSG00000133067.17"
"1215","ENSG00000133067.17","ENSG00000077152.9"
"1216","ENSG00000143858.11","ENSG00000117139.16"
"1217","ENSG00000117139.16","ENSG00000183155.4"
"1218","ENSG00000183155.4","ENSG00000117153.15"
"1219","ENSG00000117153.15","ENSG00000159346.12"
"1220","ENSG00000159348.12","ENSG00000163444.11"
"1221","ENSG00000163444.11","ENSG00000143847.15"
"1222","ENSG00000143847.15","ENSG00000122180.4"
"1223","ENSG00000163485.16","ENSG00000133055.8"
"1224","ENSG00000133055.8","ENSG00000133048.12"
"1225","ENSG00000133048.12","ENSG00000133063.15"
"1226","ENSG00000133063.15","ENSG00000159388.5"
"1227","ENSG00000159388.5","ENSG00000122176.10"
"1228","ENSG00000122176.10","ENSG00000188783.5"
"1229","ENSG00000188783.5","ENSG00000188770.9"
"1230","ENSG00000188770.9","ENSG00000058668.14"
"1231","ENSG00000058668.14","ENSG00000122188.12"
"1232","ENSG00000122188.12","ENSG00000058673.16"
"1233","ENSG00000257315.2","ENSG00000182004.12"
"1234","ENSG00000143842.14","ENSG00000143845.14"
"1235","ENSG00000143845.14","ENSG00000143839.14"
"1236","ENSG00000170498.8","ENSG00000174567.7"
"1237","ENSG00000174567.7","ENSG00000143850.13"
"1238","ENSG00000143850.13","ENSG00000158615.8"
"1239","ENSG00000158615.8","ENSG00000133056.13"
"1240","ENSG00000133056.13","ENSG00000198625.12"
"1241","ENSG00000198625.12","ENSG00000170382.11"
"1242","ENSG00000170382.11","ENSG00000163531.15"
"1243","ENSG00000184144.11","ENSG00000174529.7"
"1244","ENSG00000174529.7","ENSG00000117222.13"
"1245","ENSG00000117222.13","ENSG00000133059.16"
"1246","ENSG00000133059.16","ENSG00000133069.15"
"1247","ENSG00000133069.15","ENSG00000163545.8"
"1248","ENSG00000163545.8","ENSG00000162873.14"
"1249","ENSG00000162873.14","ENSG00000186007.9"
"1250","ENSG00000186007.9","ENSG00000117266.15"
"1251","ENSG00000117266.15","ENSG00000174514.12"
"1252","ENSG00000174514.12","ENSG00000158711.13"
"1253","ENSG00000158711.13","ENSG00000158715.5"
"1254","ENSG00000158715.5","ENSG00000069275.12"
"1255","ENSG00000069275.12","ENSG00000117280.12"
"1256","ENSG00000117280.12","ENSG00000133065.10"
"1257","ENSG00000133065.10","ENSG00000162877.12"
"1258","ENSG00000162877.12","ENSG00000174502.18"
"1259","ENSG00000174502.18","ENSG00000276600.4"
"1260","ENSG00000276600.4","ENSG00000196188.10"
"1261","ENSG00000196188.10","ENSG00000263961.6"
"1262","ENSG00000263961.6","ENSG00000198049.6"
"1263","ENSG00000198049.6","ENSG00000196550.10"
"1264","ENSG00000263528.7","ENSG00000266094.7"
"1265","ENSG00000266094.7","ENSG00000143486.15"
"1266","ENSG00000143486.15","ENSG00000143479.15"
"1267","ENSG00000143479.15","ENSG00000162889.10"
"1268","ENSG00000162889.10","ENSG00000136634.5"
"1269","ENSG00000136634.5","ENSG00000142224.15"
"1270","ENSG00000142224.15","ENSG00000162891.10"
"1271","ENSG00000162891.10","ENSG00000162892.15"
"1272","ENSG00000162892.15","ENSG00000162894.11"
"1273","ENSG00000162894.11","ENSG00000162896.5"
"1274","ENSG00000162896.5","ENSG00000162897.14"
"1275","ENSG00000162897.14","ENSG00000182795.12"
"1276","ENSG00000123836.14","ENSG00000180667.10"
"1277","ENSG00000180667.10","ENSG00000123843.12"
"1278","ENSG00000123843.12","ENSG00000123838.10"
"1279","ENSG00000196352.14","ENSG00000117322.17"
"1280","ENSG00000117322.17","ENSG00000203710.10"
"1281","ENSG00000203710.10","ENSG00000197721.16"
"1282","ENSG00000197721.16","ENSG00000117335.19"
"1283","ENSG00000117335.19","ENSG00000174059.16"
"1284","ENSG00000008118.9","ENSG00000196878.14"
"1285","ENSG00000196878.14","ENSG00000123689.5"
"1286","ENSG00000123689.5","ENSG00000117594.9"
"1287","ENSG00000117594.9","ENSG00000009790.14"
"1288","ENSG00000009790.14","ENSG00000162757.4"
"1289","ENSG00000162757.4","ENSG00000117595.10"
"1290","ENSG00000117595.10","ENSG00000117597.17"
"1291","ENSG00000117597.17","ENSG00000143469.18"
"1292","ENSG00000082497.11","ENSG00000054392.12"
"1293","ENSG00000143473.12","ENSG00000117625.13"
"1294","ENSG00000117625.13","ENSG00000082512.14"
"1295","ENSG00000082512.14","ENSG00000198570.5"
"1296","ENSG00000198570.5","ENSG00000170385.9"
"1297","ENSG00000170385.9","ENSG00000117650.12"
"1298","ENSG00000117650.12","ENSG00000123684.12"
"1299","ENSG00000066027.11","ENSG00000065600.12"
"1300","ENSG00000065600.12","ENSG00000117691.9"
"1301","ENSG00000117691.9","ENSG00000162772.16"
"1302","ENSG00000162772.16","ENSG00000162771.7"
"1303","ENSG00000162771.7","ENSG00000123685.8"
"1304","ENSG00000123685.8","ENSG00000117697.14"
"1305","ENSG00000203705.10","ENSG00000185523.6"
"1306","ENSG00000185523.6","ENSG00000162769.12"
"1307","ENSG00000162769.12","ENSG00000143494.15"
"1308","ENSG00000143494.15","ENSG00000174606.13"
"1309","ENSG00000174606.13","ENSG00000136643.11"
"1310","ENSG00000152104.11","ENSG00000117724.12"
"1311","ENSG00000067533.5","ENSG00000092969.11"
"1312","ENSG00000196660.10","ENSG00000136628.17"
"1313","ENSG00000136628.17","ENSG00000162813.17"
"1314","ENSG00000067704.9","ENSG00000118873.15"
"1315","ENSG00000116141.15","ENSG00000162817.6"
"1316","ENSG00000162817.6","ENSG00000117791.15"
"1317","ENSG00000117791.15","ENSG00000186205.12"
"1318","ENSG00000186205.12","ENSG00000136630.12"
"1319","ENSG00000143512.12","ENSG00000143498.17"
"1320","ENSG00000143498.17","ENSG00000154305.16"
"1321","ENSG00000154305.16","ENSG00000186063.12"
"1322","ENSG00000162819.11","ENSG00000197520.10"
"1323","ENSG00000197520.10","ENSG00000154309.8"
"1324","ENSG00000143502.14","ENSG00000178395.6"
"1325","ENSG00000203697.11","ENSG00000162909.17"
"1326","ENSG00000162909.17","ENSG00000143514.16"
"1327","ENSG00000143756.11","ENSG00000143753.12"
"1328","ENSG00000143753.12","ENSG00000143748.17"
"1329","ENSG00000143748.17","ENSG00000143771.11"
"1330","ENSG00000143771.11","ENSG00000162923.14"
"1331","ENSG00000154380.17","ENSG00000143742.12"
"1332","ENSG00000143742.12","ENSG00000143819.12"
"1333","ENSG00000143819.12","ENSG00000196187.11"
"1334","ENSG00000196187.11","ENSG00000243709.1"
"1335","ENSG00000243709.1","ENSG00000143811.18"
"1336","ENSG00000143811.18","ENSG00000143768.12"
"1337","ENSG00000143768.12","ENSG00000143751.9"
"1338","ENSG00000143751.9","ENSG00000163041.9"
"1339","ENSG00000163041.9","ENSG00000182827.8"
"1340","ENSG00000182827.8","ENSG00000185155.11"
"1341","ENSG00000185155.11","ENSG00000183814.15"
"1342","ENSG00000183814.15","ENSG00000143799.12"
"1343","ENSG00000143799.12","ENSG00000203685.9"
"1344","ENSG00000203685.9","ENSG00000143772.9"
"1345","ENSG00000143772.9","ENSG00000143801.16"
"1346","ENSG00000143801.16","ENSG00000163050.16"
"1347","ENSG00000181450.17","ENSG00000143740.14"
"1348","ENSG00000081692.12","ENSG00000185888.5"
"1349","ENSG00000185888.5","ENSG00000143816.7"
"1350","ENSG00000143816.7","ENSG00000154342.5"
"1351","ENSG00000154342.5","ENSG00000143761.15"
"1352","ENSG00000143761.15","ENSG00000143793.12"
"1353","ENSG00000162910.18","ENSG00000143774.16"
"1354","ENSG00000198835.3","ENSG00000181873.12"
"1355","ENSG00000181873.12","ENSG00000162913.9"
"1356","ENSG00000154358.20","ENSG00000154370.15"
"1357","ENSG00000154370.15","ENSG00000162931.11"
"1358","ENSG00000168148.3","ENSG00000181218.5"
"1359","ENSG00000196890.4","ENSG00000168159.11"
"1360","ENSG00000177800.2","ENSG00000168118.11"
"1361","ENSG00000168118.11","ENSG00000154429.10"
"1362","ENSG00000154429.10","ENSG00000143632.14"
"1363","ENSG00000143632.14","ENSG00000069248.11"
"1364","ENSG00000069248.11","ENSG00000135776.4"
"1365","ENSG00000135776.4","ENSG00000135801.9"
"1366","ENSG00000135775.13","ENSG00000135744.7"
"1367","ENSG00000135744.7","ENSG00000135773.12"
"1368","ENSG00000135773.12","ENSG00000119280.16"
"1369","ENSG00000119280.16","ENSG00000143643.12"
"1370","ENSG00000173409.13","ENSG00000182118.7"
"1371","ENSG00000182118.7","ENSG00000119283.15"
"1372","ENSG00000119283.15","ENSG00000143633.12"
"1373","ENSG00000116906.11","ENSG00000116903.7"
"1374","ENSG00000010072.15","ENSG00000135766.8"
"1375","ENSG00000135766.8","ENSG00000116918.13"
"1376","ENSG00000116918.13","ENSG00000162946.21"
"1377","ENSG00000212916.4","ENSG00000135778.11"
"1378","ENSG00000135749.18","ENSG00000143674.10"
"1379","ENSG00000168275.14","ENSG00000059588.9"
"1380","ENSG00000059588.9","ENSG00000168264.10"
"1381","ENSG00000173726.10","ENSG00000188739.14"
"1382","ENSG00000188739.14","ENSG00000054267.21"
"1383","ENSG00000152904.11","ENSG00000116957.12"
"1384","ENSG00000116957.12","ENSG00000162885.12"
"1385","ENSG00000162885.12","ENSG00000168243.10"
"1386","ENSG00000143669.13","ENSG00000116962.14"
"1387","ENSG00000116962.14","ENSG00000077585.13"
"1388","ENSG00000077585.13","ENSG00000086619.13"
"1389","ENSG00000086619.13","ENSG00000186197.13"
"1390","ENSG00000186197.13","ENSG00000116977.18"
"1391","ENSG00000116977.18","ENSG00000119285.10"
"1392","ENSG00000119285.10","ENSG00000077522.12"
"1393","ENSG00000077522.12","ENSG00000116984.12"
"1394","ENSG00000244020.2","ENSG00000198626.15"
"1395","ENSG00000116996.9","ENSG00000270188.1"
"1396","ENSG00000182901.16","ENSG00000091483.6"
"1397","ENSG00000091483.6","ENSG00000117009.11"
"1398","ENSG00000117009.11","ENSG00000054277.13"
"1399","ENSG00000054277.13","ENSG00000203668.2"
"1400","ENSG00000203668.2","ENSG00000162843.17"
"1401","ENSG00000162843.17","ENSG00000174371.16"
"1402","ENSG00000174371.16","ENSG00000196289.7"
"1403","ENSG00000196289.7","ENSG00000197769.5"
"1404","ENSG00000117020.16","ENSG00000179456.10"
"1405","ENSG00000173728.10","ENSG00000035687.9"
"1406","ENSG00000179397.17","ENSG00000121644.18"
"1407","ENSG00000121644.18","ENSG00000284188.1"
"1408","ENSG00000284188.1","ENSG00000203667.9"
"1409","ENSG00000203667.9","ENSG00000153187.18"
"1410","ENSG00000153187.18","ENSG00000203666.12"
"1411","ENSG00000203666.12","ENSG00000162849.15"
"1412","ENSG00000185420.18","ENSG00000162851.7"
"1413","ENSG00000162852.13","ENSG00000143653.9"
"1414","ENSG00000153207.14","ENSG00000197472.14"
"1415","ENSG00000197472.14","ENSG00000277462.1"
"1416","ENSG00000277462.1","ENSG00000188295.14"
"1417","ENSG00000188295.14","ENSG00000196418.12"
"1418","ENSG00000196418.12","ENSG00000162714.12"
"1419","ENSG00000162714.12","ENSG00000162711.16"
"1420","ENSG00000162711.16","ENSG00000177535.7"
"1421","ENSG00000177535.7","ENSG00000169224.12"
"1422","ENSG00000169224.12","ENSG00000196242.7"
"1423","ENSG00000196242.7","ENSG00000177489.1"
"1424","ENSG00000177489.1","ENSG00000177476.3"
"1425","ENSG00000177476.3","ENSG00000197437.3"
"1426","ENSG00000197437.3","ENSG00000169214.3"
"1427","ENSG00000169214.3","ENSG00000241128.1"
"1428","ENSG00000241128.1","ENSG00000153230.4"
"1429","ENSG00000153230.4","ENSG00000221888.3"
"1430","ENSG00000221888.3","ENSG00000196772.3"
"1431","ENSG00000196772.3","ENSG00000197591.3"
"1432","ENSG00000197591.3","ENSG00000162722.8"
"1433","ENSG00000162722.8","ENSG00000238243.3"
"1434","ENSG00000238243.3","ENSG00000177462.6"
"1435","ENSG00000177462.6","ENSG00000177275.3"
"1436","ENSG00000177275.3","ENSG00000187080.8"
"1437","ENSG00000187080.8","ENSG00000197454.1"
"1438","ENSG00000197454.1","ENSG00000203663.3"
"1439","ENSG00000203663.3","ENSG00000198128.3"
"1440","ENSG00000198128.3","ENSG00000196071.4"
"1441","ENSG00000196071.4","ENSG00000162727.3"
"1442","ENSG00000162727.3","ENSG00000198601.2"
"1443","ENSG00000198601.2","ENSG00000228198.2"
"1444","ENSG00000228198.2","ENSG00000171180.1"
"1445","ENSG00000171180.1","ENSG00000177212.3"
"1446","ENSG00000177212.3","ENSG00000177201.1"
"1447","ENSG00000177201.1","ENSG00000177186.3"
"1448","ENSG00000177186.3","ENSG00000177174.1"
"1449","ENSG00000177174.1","ENSG00000196944.3"
"1450","ENSG00000196944.3","ENSG00000198104.2"
"1451","ENSG00000198104.2","ENSG00000175143.3"
"1452","ENSG00000175143.3","ENSG00000196240.3"
"1453","ENSG00000196240.3","ENSG00000196539.3"
"1454","ENSG00000196539.3","ENSG00000203661.3"
"1455","ENSG00000203661.3","ENSG00000188558.5"
"1456","ENSG00000188558.5","ENSG00000182783.4"
"1457","ENSG00000182783.4","ENSG00000183310.3"
"1458","ENSG00000183310.3","ENSG00000184022.3"
"1459","ENSG00000184022.3","ENSG00000177151.3"
"1460","ENSG00000177151.3","ENSG00000187701.3"
"1461","ENSG00000187701.3","ENSG00000189181.4"
"1462","ENSG00000189181.4","ENSG00000259823.5"
"1463","ENSG00000259823.5","ENSG00000175137.10"
"1464","ENSG00000175137.10","ENSG00000171161.12"
"1465","ENSG00000171161.12","ENSG00000171163.15"
"1466","ENSG00000171163.15","ENSG00000185220.11"
"1467","ENSG00000143727.15","ENSG00000189292.15"
"1468","ENSG00000171853.15","ENSG00000182551.13"
"1469","ENSG00000182551.13","ENSG00000171865.9"
"1470","ENSG00000171865.9","ENSG00000171863.12"
"1471","ENSG00000171863.12","ENSG00000118004.17"
"1472","ENSG00000118004.17","ENSG00000151360.9"
"1473","ENSG00000151360.9","ENSG00000214866.8"
"1474","ENSG00000134321.11","ENSG00000151692.14"
"1475","ENSG00000115738.9","ENSG00000134313.15"
"1476","ENSG00000134313.15","ENSG00000143797.11"
"1477","ENSG00000119203.13","ENSG00000134330.18"
"1478","ENSG00000134330.18","ENSG00000151694.12"
"1479","ENSG00000151694.12","ENSG00000134308.13"
"1480","ENSG00000115750.16","ENSG00000134317.17"
"1481","ENSG00000134317.17","ENSG00000172059.10"
"1482","ENSG00000172059.10","ENSG00000205795.4"
"1483","ENSG00000205795.4","ENSG00000171848.13"
"1484","ENSG00000171848.13","ENSG00000115756.12"
"1485","ENSG00000115756.12","ENSG00000115758.12"
"1486","ENSG00000115761.15","ENSG00000143882.10"
"1487","ENSG00000143882.10","ENSG00000143870.12"
"1488","ENSG00000143870.12","ENSG00000162975.4"
"1489","ENSG00000150873.11","ENSG00000162976.12"
"1490","ENSG00000162976.12","ENSG00000134318.13"
"1491","ENSG00000134318.13","ENSG00000169016.16"
"1492","ENSG00000169016.16","ENSG00000196208.13"
"1493","ENSG00000196208.13","ENSG00000169006.6"
"1494","ENSG00000151779.12","ENSG00000079785.14"
"1495","ENSG00000214842.5","ENSG00000163032.11"
"1496","ENSG00000163029.15","ENSG00000178295.14"
"1497","ENSG00000178295.14","ENSG00000151379.3"
"1498","ENSG00000151379.3","ENSG00000170745.11"
"1499","ENSG00000240857.1","ENSG00000185013.16"
"1500","ENSG00000183891.5","ENSG00000118965.14"
"1501","ENSG00000118965.14","ENSG00000132031.12"
"1502","ENSG00000132031.12","ENSG00000068697.6"
"1503","ENSG00000068697.6","ENSG00000115884.10"
"1504","ENSG00000115884.10","ENSG00000055917.15"
"1505","ENSG00000055917.15","ENSG00000143878.9"
"1506","ENSG00000118960.12","ENSG00000143869.6"
"1507","ENSG00000143869.6","ENSG00000118961.14"
"1508","ENSG00000084674.14","ENSG00000218819.4"
"1509","ENSG00000173960.13","ENSG00000205639.9"
"1510","ENSG00000205639.9","ENSG00000163026.11"
"1511","ENSG00000119782.13","ENSG00000115128.6"
"1512","ENSG00000115129.13","ENSG00000176732.6"
"1513","ENSG00000176732.6","ENSG00000186453.12"
"1514","ENSG00000186453.12","ENSG00000198399.14"
"1515","ENSG00000198399.14","ENSG00000084676.15"
"1516","ENSG00000138092.10","ENSG00000138031.14"
"1517","ENSG00000138031.14","ENSG00000115137.11"
"1518","ENSG00000115137.11","ENSG00000084710.13"
"1519","ENSG00000084710.13","ENSG00000115138.10"
"1520","ENSG00000115138.10","ENSG00000119772.16"
"1521","ENSG00000143970.16","ENSG00000084731.14"
"1522","ENSG00000084731.14","ENSG00000084733.10"
"1523","ENSG00000084733.10","ENSG00000157833.12"
"1524","ENSG00000157833.12","ENSG00000084754.10"
"1525","ENSG00000138029.13","ENSG00000173567.14"
"1526","ENSG00000138018.17","ENSG00000157856.10"
"1527","ENSG00000157856.10","ENSG00000115155.16"
"1528","ENSG00000173557.14","ENSG00000157884.10"
"1529","ENSG00000157884.10","ENSG00000171303.6"
"1530","ENSG00000171303.6","ENSG00000213699.8"
"1531","ENSG00000213699.8","ENSG00000115163.14"
"1532","ENSG00000115163.14","ENSG00000157851.16"
"1533","ENSG00000157851.16","ENSG00000084764.10"
"1534","ENSG00000084764.10","ENSG00000119777.18"
"1535","ENSG00000084693.15","ENSG00000228474.5"
"1536","ENSG00000138030.12","ENSG00000138028.15"
"1537","ENSG00000143994.13","ENSG00000138073.13"
"1538","ENSG00000163792.6","ENSG00000138074.14"
"1539","ENSG00000084774.13","ENSG00000115194.10"
"1540","ENSG00000138100.13","ENSG00000163794.6"
"1541","ENSG00000163794.6","ENSG00000115204.14"
"1542","ENSG00000115204.14","ENSG00000115207.13"
"1543","ENSG00000115207.13","ENSG00000115211.15"
"1544","ENSG00000115234.10","ENSG00000163795.13"
"1545","ENSG00000163795.13","ENSG00000115241.10"
"1546","ENSG00000115241.10","ENSG00000115216.13"
"1547","ENSG00000115216.13","ENSG00000157992.12"
"1548","ENSG00000157992.12","ENSG00000138002.14"
"1549","ENSG00000084734.8","ENSG00000221843.4"
"1550","ENSG00000221843.4","ENSG00000243943.9"
"1551","ENSG00000243943.9","ENSG00000176714.9"
"1552","ENSG00000198522.13","ENSG00000119760.15"
"1553","ENSG00000163798.13","ENSG00000243147.7"
"1554","ENSG00000243147.7","ENSG00000171174.13"
"1555","ENSG00000075426.11","ENSG00000163803.12"
"1556","ENSG00000213639.9","ENSG00000163806.15"
"1557","ENSG00000163806.15","ENSG00000171103.10"
"1558","ENSG00000171103.10","ENSG00000163811.11"
"1559","ENSG00000163811.11","ENSG00000189350.12"
"1560","ENSG00000189350.12","ENSG00000179270.6"
"1561","ENSG00000179270.6","ENSG00000115295.19"
"1562","ENSG00000119801.12","ENSG00000213626.11"
"1563","ENSG00000158089.14","ENSG00000214711.9"
"1564","ENSG00000013016.15","ENSG00000158125.9"
"1565","ENSG00000158125.9","ENSG00000277893.1"
"1566","ENSG00000162959.13","ENSG00000162961.13"
"1567","ENSG00000162961.13","ENSG00000021574.11"
"1568","ENSG00000021574.11","ENSG00000152683.14"
"1569","ENSG00000152683.14","ENSG00000091106.18"
"1570","ENSG00000091106.18","ENSG00000119820.10"
"1571","ENSG00000119820.10","ENSG00000115760.13"
"1572","ENSG00000152689.17","ENSG00000119812.18"
"1573","ENSG00000171055.14","ENSG00000205221.12"
"1574","ENSG00000115808.11","ENSG00000008869.11"
"1575","ENSG00000152133.14","ENSG00000055332.16"
"1576","ENSG00000055332.16","ENSG00000138068.10"
"1577","ENSG00000218739.9","ENSG00000115816.14"
"1578","ENSG00000003509.15","ENSG00000115825.9"
"1579","ENSG00000115825.9","ENSG00000115828.15"
"1580","ENSG00000163171.7","ENSG00000115841.19"
"1581","ENSG00000115841.19","ENSG00000138061.11"
"1582","ENSG00000143889.15","ENSG00000143891.16"
"1583","ENSG00000143891.16","ENSG00000115875.18"
"1584","ENSG00000152147.10","ENSG00000163214.20"
"1585","ENSG00000188010.12","ENSG00000214694.10"
"1586","ENSG00000115904.12","ENSG00000205111.8"
"1587","ENSG00000152154.10","ENSG00000138050.14"
"1588","ENSG00000205086.6","ENSG00000162878.12"
"1589","ENSG00000162878.12","ENSG00000143924.18"
"1590","ENSG00000115944.14","ENSG00000171126.7"
"1591","ENSG00000162881.6","ENSG00000162882.14"
"1592","ENSG00000115970.18","ENSG00000152527.13"
"1593","ENSG00000152527.13","ENSG00000223658.7"
"1594","ENSG00000223658.7","ENSG00000138036.18"
"1595","ENSG00000138036.18","ENSG00000138075.11"
"1596","ENSG00000143921.6","ENSG00000138095.18"
"1597","ENSG00000138095.18","ENSG00000138032.20"
"1598","ENSG00000138032.20","ENSG00000138079.13"
"1599","ENSG00000138079.13","ENSG00000138078.15"
"1600","ENSG00000138083.4","ENSG00000170577.7"
"1601","ENSG00000068784.12","ENSG00000171132.13"
"1602","ENSG00000116016.13","ENSG00000187600.12"
"1603","ENSG00000187600.12","ENSG00000250565.6"
"1604","ENSG00000119729.11","ENSG00000151665.12"
"1605","ENSG00000119878.5","ENSG00000171150.7"
"1606","ENSG00000180398.11","ENSG00000068724.15"
"1607","ENSG00000239605.9","ENSG00000273269.2"
"1608","ENSG00000273269.2","ENSG00000143933.16"
"1609","ENSG00000143933.16","ENSG00000119888.10"
"1610","ENSG00000119888.10","ENSG00000095002.13"
"1611","ENSG00000095002.13","ENSG00000184261.4"
"1612","ENSG00000184261.4","ENSG00000116062.14"
"1613","ENSG00000170802.15","ENSG00000162869.15"
"1614","ENSG00000162869.15","ENSG00000243244.5"
"1615","ENSG00000068781.21","ENSG00000242441.7"
"1616","ENSG00000242441.7","ENSG00000138039.14"
"1617","ENSG00000115239.21","ENSG00000143942.4"
"1618","ENSG00000143942.4","ENSG00000068912.13"
"1619","ENSG00000068912.13","ENSG00000119737.5"
"1620","ENSG00000119737.5","ENSG00000068878.14"
"1621","ENSG00000178021.10","ENSG00000177994.15"
"1622","ENSG00000177994.15","ENSG00000115306.15"
"1623","ENSG00000115310.17","ENSG00000162994.15"
"1624","ENSG00000143947.13","ENSG00000085760.14"
"1625","ENSG00000085760.14","ENSG00000115355.15"
"1626","ENSG00000115355.15","ENSG00000163001.11"
"1627","ENSG00000163001.11","ENSG00000275052.4"
"1628","ENSG00000275052.4","ENSG00000138035.14"
"1629","ENSG00000115421.12","ENSG00000162924.13"
"1630","ENSG00000162924.13","ENSG00000162927.13"
"1631","ENSG00000162928.8","ENSG00000162929.13"
"1632","ENSG00000162929.13","ENSG00000237651.6"
"1633","ENSG00000237651.6","ENSG00000173209.22"
"1634","ENSG00000115464.14","ENSG00000082898.16"
"1635","ENSG00000170264.12","ENSG00000115484.14"
"1636","ENSG00000186889.9","ENSG00000115504.14"
"1637","ENSG00000169764.15","ENSG00000143952.19"
"1638","ENSG00000143952.19","ENSG00000197329.11"
"1639","ENSG00000119862.12","ENSG00000119844.15"
"1640","ENSG00000115902.10","ENSG00000011523.13"
"1641","ENSG00000011523.13","ENSG00000138069.16"
"1642","ENSG00000138069.16","ENSG00000138071.13"
"1643","ENSG00000197223.11","ENSG00000243667.6"
"1644","ENSG00000115946.7","ENSG00000221823.10"
"1645","ENSG00000221823.10","ENSG00000119865.8"
"1646","ENSG00000119865.8","ENSG00000115956.9"
"1647","ENSG00000115956.9","ENSG00000204923.3"
"1648","ENSG00000169621.9","ENSG00000169618.6"
"1649","ENSG00000169618.6","ENSG00000163219.11"
"1650","ENSG00000163219.11","ENSG00000163217.1"
"1651","ENSG00000163217.1","ENSG00000183607.9"
"1652","ENSG00000183607.9","ENSG00000169605.5"
"1653","ENSG00000169605.5","ENSG00000169604.19"
"1654","ENSG00000198380.12","ENSG00000169599.12"
"1655","ENSG00000115977.18","ENSG00000196975.15"
"1656","ENSG00000196975.15","ENSG00000087338.4"
"1657","ENSG00000087338.4","ENSG00000124380.10"
"1658","ENSG00000059728.10","ENSG00000244617.2"
"1659","ENSG00000244617.2","ENSG00000169564.6"
"1660","ENSG00000169564.6","ENSG00000115998.7"
