2021-10-11 22:44:05.902532	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=CRISPR+RNA-seq&assay_title=CRISPRi+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bam&field=accession&field=assay_title&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=description&field=lab.title&field=award.project&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=possible_controls&field=perturbed&limit=all
Accession	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Biosample accession	Biological replicate	Technical replicate	Organism	Controls	Perturbed
ENCSR395HQT	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE177456	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq on day 30. (NT-D30_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS864MCX,ENCBS016SET	1,2	1	Homo sapiens		False
ENCSR636PNL	CRISPR RNA-seq	THOC1	THOC1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens THOC1	HepG2	GEO:GSE177632	RNA-seq on HepG2 cells treated with a CRISPR gRNA against THOC1. (THOC1-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS730TVL,ENCBS666ZDP	2,1	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR982XTO	CRISPR RNA-seq	NSUN5	NSUN5	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens NSUN5	K562	GEO:GSE178021	RNA-seq on K562 cells treated with a CRISPR gRNA against NSUN5. (NSUN5-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS660QBK,ENCBS332GWN	1,2	1	Homo sapiens	/experiments/ENCSR978MMZ/	True
ENCSR357LVC	CRISPRi RNA-seq	NR4A1	NR4A1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NR4A1	K562	GEO:GSE127111	RNA-seq on K562 cells treated by CRISPR interference targeting NR4A1.	Michael Snyder, Stanford	ENCODE	ENCBS345SBC,ENCBS248RXV	3,4	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR096VPS	CRISPRi RNA-seq	NFYA	NFYA	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NFYA	K562	GEO:GSE127084	RNA-seq on K562 cells treated by CRISPR interference targeting NFYA.	Michael Snyder, Stanford	ENCODE	ENCBS987XDS,ENCBS847LZX	3,4	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR223QTD	CRISPRi RNA-seq	ZBTB33	ZBTB33	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens ZBTB33	K562	GEO:GSE127100	RNA-seq on K562 cells treated by CRISPR interference targeting ZBTB33.	Michael Snyder, Stanford	ENCODE	ENCBS493JKJ,ENCBS189ORA	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR761AQZ	CRISPRi RNA-seq			Homo sapiens K562 genetically modified (interference) using CRISPR	K562	GEO:GSE127152	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch D control).	Michael Snyder, Stanford	ENCODE	ENCBS301LXH,ENCBS347KXG	1,2	1	Homo sapiens		False
ENCSR029VGU	CRISPR RNA-seq	DHX57	DHX57	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens DHX57	HepG2	GEO:GSE176695	RNA-seq on HepG2 cells treated with a CRISPR gRNA against DHX57. (DHX57-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS350MHP,ENCBS409OZE	2,1	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR808HQN	CRISPRi RNA-seq	NR2C2	NR2C2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NR2C2	K562	GEO:GSE127157	RNA-seq on K562 cells treated by CRISPR interference targeting NR2C2.	Michael Snyder, Stanford	ENCODE	ENCBS529CYT,ENCBS864JNT,ENCBS495GAT	1,3,4	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR376CFR	CRISPRi RNA-seq	STAT5A	STAT5A	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens STAT5A	K562	GEO:GSE127115	RNA-seq on K562 cells treated by CRISPR interference targeting STAT5A.	Michael Snyder, Stanford	ENCODE	ENCBS017OLD,ENCBS597EDW	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR400YKV	CRISPR RNA-seq	SART1	SART1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SART1	HepG2	GEO:GSE177072	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SART1. (SART1-BGHcLV22)	Brenton Graveley, UConn	ENCODE	ENCBS731VZI,ENCBS046YDD	2,1	1	Homo sapiens	/experiments/ENCSR704VPL/	True
ENCSR104QKG	CRISPRi RNA-seq	SIX5	SIX5	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens SIX5	K562	GEO:GSE127087	RNA-seq on K562 cells treated by CRISPR interference targeting SIX5.	Michael Snyder, Stanford	ENCODE	ENCBS973QZJ,ENCBS165FFQ	3,4	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR816LHY	CRISPR RNA-seq	RPL11	RPL11	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RPL11	K562	GEO:GSE177830	RNA-seq on K562 cells treated with a CRISPR gRNA against RPL11. (RPL11-BGKcLV15)	Brenton Graveley, UConn	ENCODE	ENCBS600KIV,ENCBS432KQK	1,2	1	Homo sapiens	/experiments/ENCSR404OHQ/	True
ENCSR320IEK	CRISPR RNA-seq	PRPF8	PRPF8	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PRPF8	K562	GEO:GSE177131	RNA-seq on K562 cells treated with a CRISPR gRNA against PRPF8. (PRPF8-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS820MRK,ENCBS235VRF	1,2	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR139LOF	CRISPR RNA-seq	SRSF7	SRSF7	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SRSF7	K562	GEO:GSE176757	RNA-seq on K562 cells treated with a CRISPR gRNA against SRSF7. (SRSF7_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS026LKC,ENCBS158FRU	1,2	1	Homo sapiens	/experiments/ENCSR163JUC/	True
ENCSR883MTV	CRISPR RNA-seq	DDX39B	DDX39B	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DDX39B	K562	GEO:GSE178020	RNA-seq on K562 cells treated with a CRISPR gRNA against DDX39B. (DDX39B-BGKcLV17)	Brenton Graveley, UConn	ENCODE	ENCBS725UBT,ENCBS356QKB	1,2	1	Homo sapiens	/experiments/ENCSR516TLX/	True
ENCSR718RBZ	CRISPR RNA-seq	DDX42	DDX42	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens DDX42	HepG2	GEO:GSE177540,RBPImage:DDX42	RNA-seq on HepG2 cells treated with a CRISPR gRNA against DDX42. (DDX42-BGHcLV05-C)	Brenton Graveley, UConn	ENCODE	ENCBS073ZDK,ENCBS199IOE	2,1	1	Homo sapiens	/experiments/ENCSR834IFU/	True
ENCSR637EFF	CRISPR RNA-seq	CEBPZ	CEBPZ	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens CEBPZ	K562	GEO:GSE177636	RNA-seq on K562 cells treated with a CRISPR gRNA against CEBPZ. (CEBPZ_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS426MFA,ENCBS802AYH	1,2	1	Homo sapiens	/experiments/ENCSR163JUC/	True
ENCSR423ERM	CRISPR RNA-seq	DCP2	DCP2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DCP2	K562	GEO:GSE177201	RNA-seq on K562 cells treated with a CRISPR gRNA against DCP2. (DCP2-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS340MGE,ENCBS273URR	2,1	1	Homo sapiens	/experiments/ENCSR854OFV/	True
ENCSR473HXR	CRISPR RNA-seq	EXOSC2	EXOSC2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens EXOSC2	K562	GEO:GSE177365	RNA-seq on K562 cells treated with a CRISPR gRNA against EXOSC2. (EXOSC2-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS301NYY,ENCBS047UIY	2,1	1	Homo sapiens	/experiments/ENCSR854OFV/	True
ENCSR723QPD	CRISPR RNA-seq	RAE1	RAE1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RAE1	HepG2	GEO:GSE177561	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RAE1. (RAE1-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS963YGC,ENCBS244PIB	1,2	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR416YFB	CRISPR RNA-seq	SAFB	SAFB	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SAFB	HepG2	GEO:GSE177178	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SAFB. (SAFB-BGHcLV09)	Brenton Graveley, UConn	ENCODE	ENCBS640FZR,ENCBS080ZER	1,2	1	Homo sapiens	/experiments/ENCSR300EBW/	True
ENCSR050ATA	CRISPR RNA-seq	RPS11	RPS11	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RPS11	K562	GEO:GSE176790	RNA-seq on K562 cells treated with a CRISPR gRNA against RPS11. (RPS11-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS897WWG,ENCBS138GDT	2,1	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR308EYT	CRISPR RNA-seq	E4F1	E4F1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens E4F1	HepG2	GEO:GSE177107	RNA-seq on HepG2 cells treated with a CRISPR gRNA against E4F1. (E4F1-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS074IQT,ENCBS641IRB	1,2	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR834IFU	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE177894	Control CRISPR gRNA against no target in HepG2 cells followed by RNA-seq. (NT-BGHcLV05-C)	Brenton Graveley, UConn	ENCODE	ENCBS901AHP,ENCBS332SEB	2,1	1	Homo sapiens		False
ENCSR234FWR	CRISPR RNA-seq	RPL28	RPL28	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RPL28	K562	GEO:GSE176782	RNA-seq on K562 cells treated with a CRISPR gRNA against RPL28. (RPL28-BGKcLV15)	Brenton Graveley, UConn	ENCODE	ENCBS591WUS,ENCBS412RPC	2,1	1	Homo sapiens	/experiments/ENCSR404OHQ/	True
ENCSR607RGV	CRISPR RNA-seq	RYBP	RYBP	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RYBP	K562	GEO:GSE177531	RNA-seq on K562 cells treated with a CRISPR gRNA against RYBP. (RYBP-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS053RXY,ENCBS327UNO	2,1	1	Homo sapiens	/experiments/ENCSR978MMZ/	True
ENCSR649MBU	CRISPR RNA-seq	SMAD5	SMAD5	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SMAD5	K562	GEO:GSE177676	RNA-seq on K562 cells treated with a CRISPR gRNA against SMAD5. (SMAD5-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS190TOX,ENCBS273YVK	1,2	1	Homo sapiens	/experiments/ENCSR978MMZ/	True
ENCSR905SEH	CRISPRi RNA-seq	MITF	MITF	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens MITF	K562	GEO:GSE127167	RNA-seq on K562 cells treated by CRISPR interference targeting MITF.	Michael Snyder, Stanford	ENCODE	ENCBS860BPC,ENCBS445DZU	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR775ZWO	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE177696	Control CRISPR gRNA against no target in HepG2 cells followed by RNA-seq. (NT-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS282MMS,ENCBS275IUW	2,1	1	Homo sapiens		False
ENCSR637CZY	CRISPR RNA-seq	RNF187	RNF187	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RNF187	HepG2	GEO:GSE177633	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RNF187. (RNF187-BGHcLV20)	Brenton Graveley, UConn	ENCODE	ENCBS493TQZ,ENCBS320HYP	2,1	1	Homo sapiens	/experiments/ENCSR306EWE/	True
ENCSR312VLS	CRISPR RNA-seq	XRCC6	XRCC6	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens XRCC6	HepG2	RBPImage:XRCC6,GEO:GSE177121	RNA-seq on HepG2 cells treated with a CRISPR gRNA against XRCC6. (XRCC6-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS161WQQ,ENCBS393PMQ	1,2	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR011GAO	CRISPRi RNA-seq	HMGN1	HMGN1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HMGN1	K562	GEO:GSE127062	RNA-seq on K562 cells treated by CRISPR interference targeting HMGN1.	Michael Snyder, Stanford	ENCODE	ENCBS296ZGL,ENCBS765ASV	2,1	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR734VBC	CRISPRi RNA-seq	HSF1	HSF1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HSF1	K562	GEO:GSE127151	RNA-seq on K562 cells treated by CRISPR interference targeting HSF1.	Michael Snyder, Stanford	ENCODE	ENCBS261ARZ,ENCBS413NDY	2,1	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR095PIC	CRISPRi RNA-seq			Homo sapiens K562 genetically modified (interference) using CRISPR	K562	GEO:GSE127083	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	Michael Snyder, Stanford	ENCODE	ENCBS935HPR,ENCBS762WHJ	1,2	1	Homo sapiens		False
ENCSR700FWD	CRISPR RNA-seq	SMAD4	SMAD4	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SMAD4	HepG2	GEO:GSE177491	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SMAD4. (SMAD4-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS825NAN,ENCBS949DYY	1,2	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR104JMN	CRISPRi RNA-seq	MXD3	MXD3	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens MXD3	K562	GEO:GSE127086	RNA-seq on K562 cells treated by CRISPR interference targeting MXD3.	Michael Snyder, Stanford	ENCODE	ENCBS395YSI,ENCBS632URD	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR796HOP	CRISPR RNA-seq	FBL	FBL	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens FBL	HepG2	GEO:GSE177747	RNA-seq on HepG2 cells treated with a CRISPR gRNA against FBL. (FBL-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS145TEI,ENCBS141JHO	2,1	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR490PSG	CRISPR RNA-seq	TAF9	TAF9	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens TAF9	K562	GEO:GSE177422	RNA-seq on K562 cells treated with a CRISPR gRNA against TAF9. (TAF9-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS306DAG,ENCBS463TWT	2,1	1	Homo sapiens	/experiments/ENCSR978MMZ/	True
ENCSR144HCM	CRISPR RNA-seq	IFIT2	IFIT2	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens IFIT2	HepG2	GEO:GSE176771	RNA-seq on HepG2 cells treated with a CRISPR gRNA against IFIT2. (IFIT2-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS131LVO,ENCBS518VOZ	1,2	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR469UOO	CRISPR RNA-seq	PDCD4	PDCD4	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PDCD4	K562	GEO:GSE177357	RNA-seq on K562 cells treated with a CRISPR gRNA against PDCD4. (PDCD4-BGKcLV17)	Brenton Graveley, UConn	ENCODE	ENCBS305PYJ,ENCBS602WPB	1,2	1	Homo sapiens	/experiments/ENCSR516TLX/	True
ENCSR750CPT	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE177618	RNA-seq on HepG2 cells treated with a CRISPR gRNA against NT. (NT-BGHcLV14)	Brenton Graveley, UConn	ENCODE	ENCBS363HBB,ENCBS223NPX	2,1	1	Homo sapiens		False
ENCSR552HTC	CRISPRi RNA-seq	TFDP1	TFDP1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens TFDP1	K562	GEO:GSE127128	RNA-seq on K562 cells treated by CRISPR interference targeting TFDP1.	Michael Snyder, Stanford	ENCODE	ENCBS461XSF,ENCBS650AIV	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR717XCO	CRISPR RNA-seq	PES1	PES1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PES1	K562	GEO:GSE177529	RNA-seq on K562 cells treated with a CRISPR gRNA against PES1. (PES1-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS943XSM,ENCBS434FAM	1,2	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR940FIN	CRISPR RNA-seq	GNL3	GNL3	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens GNL3	HepG2	RBPImage:GNL3,GEO:GSE177899	RNA-seq on HepG2 cells treated with a CRISPR gRNA against GNL3. (GNL3-BGHcLV05-E)	Brenton Graveley, UConn	ENCODE	ENCBS399GKJ,ENCBS564UDY	1,2	1	Homo sapiens	/experiments/ENCSR713OTF/	True
ENCSR383QYT	CRISPR RNA-seq	SMAD5	SMAD5	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SMAD5	HepG2	GEO:GSE177409	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SMAD5. (SMAD5-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS010YSJ,ENCBS919ORJ	1,2	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR731XIE	CRISPRi RNA-seq	TARDBP	TARDBP	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens TARDBP	K562	GEO:GSE127148	RNA-seq on K562 cells treated by CRISPR interference targeting TARDBP.	Michael Snyder, Stanford	ENCODE	ENCBS055JWH,ENCBS559LFG	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR069OUL	CRISPRi RNA-seq	HMGA1	HMGA1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HMGA1	K562	GEO:GSE127076	RNA-seq on K562 cells treated by CRISPR interference targeting HMGA1.	Michael Snyder, Stanford	ENCODE	ENCBS499YBA,ENCBS016LVE	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR120WNJ	CRISPR RNA-seq	LSM7	LSM7	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens LSM7	HepG2	GEO:GSE176677	RNA-seq on HepG2 cells treated with a CRISPR gRNA against LSM7. (LSM7-BGHcLV22)	Brenton Graveley, UConn	ENCODE	ENCBS671YCK,ENCBS240ZAB	1,2	1	Homo sapiens	/experiments/ENCSR704VPL/	True
ENCSR235ZEI	CRISPRi RNA-seq	RBBP7	RBBP7	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens RBBP7	K562	GEO:GSE127101	RNA-seq on K562 cells treated by CRISPR interference targeting RBBP7.	Michael Snyder, Stanford	ENCODE	ENCBS628LPZ,ENCBS366UYB,ENCBS016PHF	1,4,3	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR279MNU	CRISPR RNA-seq	STAU2	STAU2	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens STAU2	HepG2	GEO:GSE176984	RNA-seq on HepG2 cells treated with a CRISPR gRNA against STAU2. (STAU2-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS219FEV,ENCBS365HBD	2,1	1	Homo sapiens	/experiments/ENCSR775ZWO/	True
ENCSR171RTN	CRISPRi RNA-seq	CTBP1	CTBP1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens CTBP1	K562	GEO:GSE127094	RNA-seq on K562 cells treated by CRISPR interference targeting CTBP1.	Michael Snyder, Stanford	ENCODE	ENCBS658SHA,ENCBS419JRM	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR911BML	CRISPRi RNA-seq	ZC3H11A	ZC3H11A	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens ZC3H11A	K562	GEO:GSE127168	RNA-seq on K562 cells treated by CRISPR interference targeting ZC3H11A.	Michael Snyder, Stanford	ENCODE	ENCBS737NBR,ENCBS455MJB	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR800PWS	CRISPRi RNA-seq	TBL1XR1	TBL1XR1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens TBL1XR1	K562	GEO:GSE127156	RNA-seq on K562 cells treated by CRISPR interference targeting TBL1XR1.	Michael Snyder, Stanford	ENCODE	ENCBS512ZCG,ENCBS915PIR	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR105LOV	CRISPR RNA-seq	PCBP3	PCBP3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PCBP3	K562	GEO:GSE176620	RNA-seq on K562 cells treated with a CRISPR gRNA against PCBP3. (PCBP3-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS694ZGH,ENCBS799AGZ	2,1	1	Homo sapiens	/experiments/ENCSR341TTW/	True
ENCSR898KNS	CRISPR RNA-seq	STAU2	STAU2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens STAU2	K562	GEO:GSE178044	RNA-seq on K562 cells treated with a CRISPR gRNA against STAU2. (STAU2-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS185CCE,ENCBS029ZJF	1,2	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR836XZH	CRISPR RNA-seq	CNOT7	CNOT7	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens CNOT7	HepG2	GEO:GSE177908,RBPImage:CNOT7	RNA-seq on HepG2 cells treated with a CRISPR gRNA against CNOT7. (CNOT7-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS662RXQ,ENCBS856QCN	1,2	1	Homo sapiens	/experiments/ENCSR775ZWO/	True
ENCSR592AQT	CRISPR RNA-seq	PPP1R8	PPP1R8	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens PPP1R8	HepG2	GEO:GSE177463,RBPImage:PPP1R8	RNA-seq on HepG2 cells treated with a CRISPR gRNA against PPP1R8. (PPP1R8-BGHcLV12)	Brenton Graveley, UConn	ENCODE	ENCBS888XEO,ENCBS866IEI	1,2	1	Homo sapiens	/experiments/ENCSR827PII/	True
ENCSR862BCF	CRISPR RNA-seq	ANXA2	ANXA2	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens ANXA2	HepG2	GEO:GSE177976	RNA-seq on HepG2 cells treated with a CRISPR gRNA against ANXA2. (ANXA2-BGHcLV12)	Brenton Graveley, UConn	ENCODE	ENCBS857FJC,ENCBS951TYV	1,2	1	Homo sapiens	/experiments/ENCSR827PII/	True
ENCSR090SBZ	CRISPR RNA-seq	NCBP1	NCBP1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens NCBP1	K562	GEO:GSE176978	RNA-seq on K562 cells treated with a CRISPR gRNA against NCBP1. (NCBP1-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS674NPD,ENCBS192AQT	2,1	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR628AFF	CRISPR RNA-seq	EIF2AK2	EIF2AK2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens EIF2AK2	K562	GEO:GSE177617	RNA-seq on K562 cells treated with a CRISPR gRNA against EIF2AK2. (EIF2AK2-BGKcLV13)	Brenton Graveley, UConn	ENCODE	ENCBS325OFK,ENCBS183UMR	2,1	1	Homo sapiens	/experiments/ENCSR712CQC/	True
ENCSR175OSV	CRISPR RNA-seq	DDX39B	DDX39B	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens DDX39B	HepG2	GEO:GSE176879	RNA-seq on HepG2 cells treated with a CRISPR gRNA against DDX39B. (DDX39B-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS269WJT,ENCBS277BUX	1,2	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR300RMY	CRISPR RNA-seq	GSK3A	GSK3A	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens GSK3A	HepG2	GEO:GSE177085	RNA-seq on HepG2 cells treated with a CRISPR gRNA against GSK3A. (GSK3A-BGHcLV14)	Brenton Graveley, UConn	ENCODE	ENCBS840EBY,ENCBS560XUK	1,2	1	Homo sapiens	/experiments/ENCSR750CPT/	True
ENCSR204OEJ	CRISPR RNA-seq	PAN2	PAN2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PAN2	K562	GEO:GSE176624	RNA-seq on K562 cells treated with a CRISPR gRNA against PAN2. (PAN2-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS024DGO,ENCBS019RRN	1,2	1	Homo sapiens	/experiments/ENCSR854OFV/	True
ENCSR095TFW	CRISPR RNA-seq	SF3A2	SF3A2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SF3A2	K562	GEO:GSE176993	RNA-seq on K562 cells treated with a CRISPR gRNA against SF3A2. (SF3A2-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS060QUM,ENCBS437VMI	1,2	1	Homo sapiens	/experiments/ENCSR854OFV/	True
ENCSR306EWE	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE177102	Control CRISPR gRNA against no target in HepG2 cells followed by RNA-seq. (NT-BGHcLV20)	Brenton Graveley, UConn	ENCODE	ENCBS217OPS,ENCBS989SEX	2,1	1	Homo sapiens		False
ENCSR814JQP	CRISPR RNA-seq	SRSF9	SRSF9	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SRSF9	HepG2	GEO:GSE177817,RBPImage:SRSF9	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SRSF9. (SRSF9-BGHcLV09)	Brenton Graveley, UConn	ENCODE	ENCBS151QTT,ENCBS986HKN	2,1	1	Homo sapiens	/experiments/ENCSR300EBW/	True
